Valor,means_euc,means_dtw,pam_dtw,pam_acf,pam_pacf,pam_arpic,pam_arlpc,pam_shape
AAPL,2,1,3,2,2,1,3,3
ABNB,2,1,3,1,4,2,2,2
ADBE,4,4,1,2,2,1,3,3
ADI,2,1,3,4,2,4,1,1
ADP,1,1,3,4,3,1,3,3
ADSK,1,1,3,4,3,1,3,3
AEP,2,3,2,1,3,1,3,3
ALGN,4,4,1,4,4,1,4,4
AMAT,2,3,2,1,2,4,1,1
AMD,2,3,2,2,2,1,3,3
AMGN,1,1,3,4,3,1,4,4
AMZN,3,2,4,1,3,2,2,2
ANSS,1,1,3,1,2,2,4,4
ASML,4,4,1,4,3,1,4,4
ATVI,2,3,2,2,3,1,3,3
AVGO,4,4,1,2,2,4,1,1
AZN,2,3,2,4,3,1,4,4
BIDU,1,1,3,4,4,1,3,3
BIIB,1,1,3,2,3,1,3,3
BKNG,3,2,4,3,3,2,2,2
CDNS,2,1,3,4,2,4,4,4
CHTR,4,4,1,2,3,1,3,3
CMCSA,2,3,2,2,3,1,4,4
COST,4,4,1,2,3,1,3,3
CPRT,2,3,3,2,3,1,3,3
CRWD,1,1,3,1,3,2,4,4
CSCO,2,3,2,4,3,4,1,1
CSX,2,3,2,1,1,2,4,4
CTAS,1,4,1,4,3,1,3,3
CTSH,2,3,2,4,3,3,1,1
DDOG,2,3,2,2,3,1,3,3
DLTR,2,3,2,2,3,1,3,3
DOCU,1,1,3,2,3,1,3,3
DXCM,4,4,1,4,2,1,3,3
EA,2,3,3,1,3,2,2,2
EBAY,2,3,2,4,3,2,4,4
EXC,2,3,2,2,3,1,3,3
FAST,2,3,2,4,3,1,3,3
FB,1,1,3,2,3,1,3,3
FISV,2,3,2,4,1,2,4,4
FTNT,1,1,3,2,3,1,3,3
GILD,2,3,2,1,3,2,4,4
GOOG,3,2,4,2,3,1,3,3
GOOGL,3,2,4,2,3,1,3,3
HON,1,1,3,4,3,2,4,4
IDXX,4,4,1,4,3,1,4,4
ILMN,1,4,1,4,2,1,4,4
INTC,2,3,2,4,2,4,1,1
INTU,4,4,1,2,2,1,3,3
ISRG,1,1,3,4,2,1,3,3
JD,2,3,2,1,4,1,4,4
KDP,2,3,2,4,3,2,4,4
KHC,2,3,2,1,3,1,4,4
KLAC,1,1,1,4,2,4,1,1
LCID,2,3,2,1,3,2,2,2
LRCX,4,4,1,1,2,4,1,1
LULU,1,4,1,4,3,1,4,4
MAR,2,1,3,4,3,2,4,4
MCHP,2,3,2,1,2,4,1,1
MDLZ,2,3,2,1,3,2,4,4
MELI,4,2,4,4,4,1,4,4
MNST,2,3,2,1,2,2,4,4
MRNA,1,1,3,2,4,1,3,3
MRVL,2,3,2,2,2,4,3,3
MSFT,1,1,3,2,2,1,3,3
MTCH,2,3,3,4,3,1,4,4
MU,2,3,2,1,2,4,1,1
NFLX,4,4,1,4,3,1,3,3
NTES,2,3,2,1,1,2,2,2
NVDA,1,1,3,2,2,1,3,3
NXPI,1,1,3,1,3,4,1,1
ODFL,1,1,3,2,1,1,3,3
OKTA,1,1,3,4,3,2,4,4
ORLY,4,4,1,2,3,1,3,3
PANW,4,4,1,2,2,1,3,3
PAYX,2,3,2,2,3,1,3,3
PCAR,2,3,2,1,3,2,2,2
PDD,2,3,2,2,3,1,3,3
PEP,2,1,3,2,1,1,3,3
PYPL,1,1,3,2,3,1,3,3
QCOM,2,1,3,1,2,1,4,4
REGN,4,4,1,2,3,1,3,3
ROST,2,3,2,2,4,2,4,4
SBUX,2,3,2,4,3,1,3,3
SGEN,2,1,3,1,4,2,4,4
SIRI,2,3,2,3,3,2,2,2
SNPS,1,1,3,2,2,4,1,1
SPLK,2,3,3,1,3,2,4,4
SWKS,2,1,3,4,3,1,4,4
TEAM,1,1,3,2,2,1,3,3
TMUS,2,3,3,4,3,2,4,4
TSLA,4,4,1,4,2,1,4,4
TXN,1,1,3,1,2,4,1,1
VRSK,1,1,3,4,3,1,3,3
VRSN,1,1,3,1,3,2,4,4
VRTX,1,1,3,4,3,4,3,3
WBA,2,3,2,1,3,2,2,2
WDAY,1,1,3,1,3,2,2,2
XEL,2,3,2,1,3,2,4,4
ZM,1,1,3,2,3,1,3,3
ZS,1,1,3,2,2,1,4,4
